,0
0,
1,
2,
3,
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,1.0399999999999978
14,2.2799999999999954
15,3.3799999999999955
16,4.439999999999992
17,5.459999999999991
18,6.199999999999994
19,5.679999999999995
20,5.699999999999994
21,5.580000000000001
22,4.900000000000006
23,4.300000000000006
24,6.020000000000005
25,7.119999999999999
26,7.1800000000000015
27,7.4
28,7.359999999999997
29,6.979999999999995
30,6.639999999999998
31,58.33999999999999
32,59.87999999999998
33,63.09999999999999
34,65.93999999999998
35,67.63999999999999
36,19.079999999999984
37,18.579999999999984
38,15.699999999999978
39,13.539999999999974
40,11.439999999999975
41,8.539999999999974
42,9.399999999999977
43,11.199999999999978
44,12.55999999999998
45,14.919999999999982
46,14.919999999999982
47,14.039999999999987
48,12.8
49,10.179999999999996
50,7.4
51,6.8
52,6.699999999999989
53,9.039999999999974
54,11.599999999999977
55,13.059999999999969
56,14.539999999999974
57,14.739999999999975
58,12.119999999999981
59,10.099999999999989
60,8.759999999999991
61,7.699999999999989
62,8.639999999999997
63,8.819999999999993
64,8.85999999999999
65,9.339999999999998
66,9.760000000000002
67,8.179999999999996
68,6.919999999999993
69,5.299999999999988
70,4.719999999999982
71,4.119999999999971
72,3.7799999999999727
73,3.8999999999999773
74,4.139999999999986
75,4.3599999999999905
76,4.419999999999993
77,4.939999999999998
78,5.7399999999999975
79,6.139999999999986
80,6.879999999999984
81,8.119999999999981
82,8.159999999999979
83,8.079999999999973
84,8.099999999999977
85,6.539999999999975
86,5.259999999999979
87,4.639999999999975
88,3.719999999999982
89,3.2599999999999794
90,3.399999999999989
91,2.899999999999989
92,2.5999999999999885
93,2.5999999999999885
94,3.7999999999999887
95,5.419999999999982
96,6.059999999999979
97,7.15999999999998
98,7.799999999999978
99,6.719999999999982
100,5.699999999999989
101,5.159999999999991
102,4.339999999999998
103,3.9200000000000044
104,3.9200000000000044
105,3.460000000000002
106,5.1200000000000045
107,6.060000000000002
108,6.3799999999999955
109,7.8599999999999905
110,7.9999999999999885
111,6.539999999999987
112,5.379999999999984
113,4.8399999999999865
114,2.9999999999999885
115,4.079999999999984
116,5.4999999999999885
117,6.85999999999998
118,7.559999999999979
119,8.739999999999975
120,9.599999999999989
121,9.579999999999984
122,10.299999999999988
123,11.319999999999983
124,13.49999999999999
125,12.659999999999979
126,11.539999999999974
127,10.739999999999975
128,9.75999999999998
129,8.939999999999975
130,9.739999999999975
131,9.85999999999998
132,9.719999999999981
133,12.579999999999984
134,15.419999999999982
135,18.539999999999985
136,20.15999999999999
137,20.69999999999999
138,18.29999999999999
139,14.319999999999993
140,9.779999999999983
141,9.219999999999981
142,9.079999999999984
143,9.579999999999984
144,11.199999999999989
145,11.579999999999995
146,11.439999999999998
147,11.620000000000005
148,10.3
149,8.099999999999989
